prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
1,10.0,8.279,1.25,0,14,953,1179
10,10.0,9.393,1.25,0,17,8273,13795
11,10.0,9.459,1.25,0,17,16151,22985
12,10.0,9.515,1.25,0,17,32442,35178
13,10.0,9.694,1.25,0,17,81902,56889
14,10.0,8.703,1.25,0,14,1014,1418
15,10.0,8.703,1.25,0,14,1234,1520
16,10.0,7.042,1.25,0,14,1861,1963
17,10.0,7.042,1.25,0,14,2651,2713
18,10.0,9.097,1.25,0,14,1107,2502
19,10.0,9.513,1.25,4,14,4572,3632
2,10.0,8.279,1.25,0,14,1193,1313
20,10.0,9.13,1.25,0,14,7691,5454
21,10.0,9.235,1.25,0,14,11731,8066
22,10.0,9.45,1.25,0,14,24009,14054
23,10.0,10.185,1.25,0,28,22804,34585
24,10.0,10.301,1.25,0,31,51569,53778
25,10.0,10.364,1.25,0,31,112911,83193
26,10.0,10.116,1.25,0,39,232526,135172
27,10.0,7.042,1.25,0,14,1095,1335
28,10.0,7.042,1.25,0,14,1348,1669
29,10.0,7.042,1.25,0,14,1835,2646
3,10.0,8.279,1.25,0,14,1459,1475
30,10.0,7.042,1.25,0,14,2567,4130
31,10.0,9.097,1.25,0,14,1946,4795
32,10.0,7.852,1.25,0,14,4965,7080
33,10.0,7.469,1.25,0,14,9480,9048
34,10.0,7.574,1.25,0,14,14700,12564
35,10.0,7.789,1.25,0,14,28478,19927
36,10.0,9.78,1.25,0,28,33123,66029
37,10.0,9.46,1.25,0,31,61758,89760
38,10.0,9.908,1.25,0,28,121119,127181
4,10.0,8.279,1.25,0,14,1740,1729
5,10.0,8.673,1.25,0,14,1089,1649
6,10.0,9.089,1.25,4,14,3527,2137
7,10.0,8.706,1.25,0,14,3525,2876
8,10.0,8.811,1.25,0,14,2727,4198
9,10.0,9.026,1.25,0,14,3598,7170
