prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
1,10.0,8.279,1.25,0,14,1107,1200
10,10.0,8.279,1.25,0,14,2853,2677
11,10.0,8.673,1.25,0,14,4728,4277
12,10.0,8.695,1.25,0,14,8472,7381
13,10.0,8.703,1.25,0,14,1053,1407
14,10.0,8.703,1.25,0,14,1441,1725
15,10.0,8.703,1.25,0,14,1934,2168
16,10.0,8.703,1.25,0,14,2728,2891
17,10.0,9.097,1.25,0,14,4056,4349
18,10.0,9.119,1.25,0,14,6832,7201
19,10.0,9.189,1.25,0,14,7859,13418
2,10.0,8.279,1.25,0,14,1464,1345
20,10.0,8.703,1.25,0,14,1186,1701
21,10.0,8.703,1.25,0,14,1663,2485
22,10.0,8.703,1.25,0,14,2292,3807
23,10.0,9.097,1.25,0,14,3550,6438
24,10.0,9.119,1.25,0,14,6066,11637
25,10.0,7.042,1.25,0,14,1241,1337
26,10.0,7.042,1.25,0,14,1626,2017
27,10.0,7.042,1.25,0,14,2249,3183
28,10.0,7.042,1.25,0,14,3425,5360
29,10.0,7.436,1.25,0,14,5775,9783
3,10.0,8.279,1.25,0,14,2022,1622
30,10.0,7.458,1.25,0,14,10591,18475
31,10.0,7.528,1.25,0,14,16177,36471
32,10.0,7.042,1.25,0,14,1579,1734
33,10.0,7.042,1.25,0,14,2419,2169
34,10.0,7.042,1.25,0,14,3862,3311
35,10.0,7.436,1.25,0,14,6629,5466
36,10.0,7.458,1.25,0,14,12165,9499
37,10.0,7.042,1.25,0,14,1244,1481
38,10.0,7.042,1.25,0,14,1628,2885
39,10.0,7.042,1.25,0,14,2254,5231
4,10.0,8.279,1.25,0,14,2882,2042
40,10.0,7.042,1.25,0,14,3428,9744
41,10.0,7.436,1.25,0,14,5774,18895
42,10.0,7.458,1.25,0,14,10582,36899
43,10.0,7.528,1.25,0,14,16184,73643
44,10.0,7.042,1.25,0,14,1676,2013
45,10.0,7.042,1.25,0,14,2477,3005
46,10.0,7.042,1.25,0,14,3924,3837
47,10.0,7.436,1.25,0,14,6744,6901
48,10.0,7.458,1.25,0,14,12271,12087
5,10.0,8.673,1.25,0,14,4470,2887
6,10.0,8.695,1.25,0,14,7766,4567
7,10.0,8.765,1.25,0,14,9929,8206
8,10.0,8.279,1.25,0,14,1320,1434
9,10.0,8.279,1.25,0,14,1914,1893
