prj,clk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lut,c_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
1,10.0,6.997,1.25,11,7,7886,11086
10,10.0,6.997,1.25,14,12,7853,11173
11,10.0,6.997,1.25,18,20,7756,11451
12,10.0,6.997,1.25,26,36,7729,11971
13,10.0,6.997,1.25,26,68,8048,13188
14,10.0,7.118,1.25,42,132,7594,16094
15,10.0,6.997,1.25,14,260,11003,18018
16,10.0,6.997,1.25,18,516,14480,24841
17,10.0,6.997,1.25,14,10,7872,11128
18,10.0,6.997,1.25,16,14,7828,11258
19,10.0,6.997,1.25,20,22,7728,11535
2,10.0,6.997,1.25,13,11,7842,11216
20,10.0,6.997,1.25,28,38,7703,12034
21,10.0,6.997,1.25,28,70,8016,13221
22,10.0,7.118,1.25,44,134,7567,16041
23,10.0,6.997,1.25,16,262,10978,18101
24,10.0,6.997,1.25,20,518,14452,24924
25,10.0,6.997,1.25,18,14,7831,11338
26,10.0,6.997,1.25,20,18,7787,11468
27,10.0,6.997,1.25,24,26,7689,11759
28,10.0,6.997,1.25,32,42,7659,12260
29,10.0,6.997,1.25,32,74,7974,13448
3,10.0,6.997,1.25,17,19,7744,11494
30,10.0,7.118,1.25,48,138,7525,16255
31,10.0,6.997,1.25,20,266,10937,18299
32,10.0,6.997,1.25,24,522,14413,25138
33,10.0,6.997,1.25,26,22,7849,11312
34,10.0,6.997,1.25,28,26,7805,11442
35,10.0,6.997,1.25,32,34,7701,11766
36,10.0,6.997,1.25,40,50,7673,12269
37,10.0,6.997,1.25,40,82,7995,13444
38,10.0,7.118,1.25,56,146,7542,16251
39,10.0,6.997,1.25,28,274,10955,18263
4,10.0,6.997,1.25,25,35,7717,12015
40,10.0,6.997,1.25,32,530,14419,25134
41,10.0,6.997,1.25,10,38,8638,12322
42,10.0,6.997,1.25,12,42,8588,12456
43,10.0,6.997,1.25,16,50,8489,12857
44,10.0,6.997,1.25,24,66,8461,13356
45,10.0,6.997,1.25,24,98,8779,14530
46,10.0,7.118,1.25,40,162,8335,17328
47,10.0,6.997,1.25,12,290,11738,19252
48,10.0,6.997,1.25,16,546,15213,26211
49,10.0,6.997,1.25,12,70,8650,12698
5,10.0,6.997,1.25,25,67,8036,13234
50,10.0,6.997,1.25,14,74,8605,12832
51,10.0,6.997,1.25,18,82,8508,13097
512,10.0,8.597,1.25,20,896,18238,36443
52,10.0,6.997,1.25,26,98,8481,13612
53,10.0,6.997,1.25,26,130,8800,14818
54,10.0,7.118,1.25,42,194,8346,17704
55,10.0,6.997,1.25,14,322,11755,19668
56,10.0,6.997,1.25,18,578,15232,26475
57,10.0,6.997,1.25,14,134,9855,14422
58,10.0,6.997,1.25,16,138,9811,14556
59,10.0,6.997,1.25,20,146,9711,14821
6,10.0,7.118,1.25,41,131,7588,16139
60,10.0,6.997,1.25,28,162,9686,15320
61,10.0,6.997,1.25,28,194,9999,16494
62,10.0,7.118,1.25,44,258,9550,19292
63,10.0,6.997,1.25,16,386,12961,21384
64,10.0,6.997,1.25,20,642,16435,28223
65,10.0,6.997,1.25,14,9,7759,11047
66,10.0,6.997,1.25,14,13,7773,11138
7,10.0,6.997,1.25,13,259,10992,18063
8,10.0,6.997,1.25,17,515,14468,24886
9,10.0,6.997,1.25,12,8,7898,11043
