prj,total_pwr(uW),static_pwr(uW),dynamic_pwr(mW),vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l5n1n1_l7n1n1,357344.1644,353175.8684,4.168295963,16.417,844,844,0,0,635,28,0,0,5
io1_l2n1n1_l5n1n1_l7n1p1,357122.8,350086.5263,7.036273684,16.736,868,859,0,9,674,28,0,0,5
io1_l2n1n1_l5n1n1_l7p1n1,383887.4667,375879.6286,8.007838095,24.891,2038,2038,0,0,1925,28,0,0,10
io1_l2n1p1_l5n1p1_l7n1n1,363139.5921,350325.8421,12.81375,21.049,1183,1183,0,0,807,28,0,0,5
io1_l2n1p1_l5n1p1_l7n1p1,364847.04,351800.5833,13.04645667,21.520,1226,1217,0,9,846,28,0,0,5
io1_l2n1p1_l5n1p1_l7p1n1,389670.9733,376722.3846,12.94858872,29.868,2377,2377,0,0,2060,28,0,0,10
io1_l2p1n1_l5p1n1_l7n1n1,481643.6133,392093.9459,89.54966739,108.181,6164,4964,0,1200,10396,28,0,0,16
io1_l2p1n1_l5p1n1_l7n1p1,492171.3247,394000.4737,98.17085099,109.820,6201,4992,0,1209,10447,28,0,0,16
io1_l2p1n1_l5p1n1_l7p1n1,496396.0526,395471.2105,100.9248421,110.759,7076,5876,0,1200,11343,28,0,0,16
io2_l2n1n1_l5n1n1_l7n1n1,358721.1733,352993.8158,5.727357544,17.690,959,959,0,0,791,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1n1_d1d2,359538.4103,352180.1351,7.358275121,17.863,1272,1272,0,0,784,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1n2,360880.4658,352711.0556,8.169410198,20.291,1209,1209,0,0,987,28,0,0,10
io2_l2n1n1_l5n1n1_l7n1n2_d1d2,387927.8974,380819.0526,7.108844804,18.217,1283,1283,0,0,904,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1p1,360010.4865,354197.4595,5.813027027,17.600,980,971,0,9,809,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1p1_d1d2,361148.0133,354534.5897,6.61342359,17.546,1286,1276,0,10,828,28,0,0,5
io2_l2n1n1_l5n1n1_l7n1p2,363064.7887,356047.5789,7.017209785,20.806,1285,1276,0,9,1023,28,0,0,10
io2_l2n1n1_l5n1n1_l7n1p2_d1d2,388156.1154,381297.1579,6.85895749,20.981,1562,1553,0,9,1104,28,0,0,10
io2_l2n1n1_l5n1n1_l7p1n1,395425.8684,388483.7895,6.942078947,33.990,3169,3169,0,0,3512,28,0,0,20
io2_l2n1n1_l5n1n1_l7p1n1_d1d2,396740.08,388321.5897,8.418490256,33.218,3490,3490,0,0,3511,28,0,0,20
io2_l2n1n1_l5n1n1_l7p2n1,396640.0789,388891.4211,7.748657895,32.973,3203,3203,0,0,3362,28,0,0,20
io2_l2n1n1_l5n1n1_l7p2n1_d1d2,406399.5325,398269.5,8.130032468,47.678,5649,5649,0,0,6482,28,0,0,40
io2_l2n1n2_l5n1n2_l7n1n1,385861.013,378269.4324,7.591580555,21.302,1123,1123,0,0,971,28,0,0,8
