prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks,freq(MHz)
io1_l1n1n1_l3n1n1,11.822,494,494,0,0,447,4,4,5,100.000
io1_l1n1n1_l3n1p1,12.301,610,610,0,0,480,4,4,5,100.000
io1_l1n1n1_l3p1n1,33.013,4313,3717,0,596,7399,5,3,10,100.000
io1_l1n1p1_l3n1n1,12.995,569,569,0,0,479,4,4,5,100.000
io1_l1n1p1_l3n1p1,15.610,694,694,0,0,516,4,4,5,100.000
io1_l1n1p1_l3p1n1,39.272,4348,3752,0,596,7445,5,3,10,100.000
io1_l1p1n1_l3n1n1,39.595,4237,3641,0,596,7432,5,3,10,100.000
io1_l1p1n1_l3n1p1,44.900,4395,3799,0,596,7392,5,3,10,100.000
io1_l1p1n1_l3p1n1,74.553,6941,5749,0,1192,11656,6,2,10,100.000
io2_l1n1n1_l3n1n1,13.252,633,633,0,0,653,4,8,5,100.000
io2_l1n1n1_l3n1n1_d1d2,14.048,741,741,0,0,782,4,8,5,100.000
io2_l1n1n1_l3n1n2,17.456,754,754,0,0,776,4,8,8,100.000
io2_l1n1n1_l3n1n2_d1d2,17.921,786,786,0,0,805,4,8,8,100.000
io2_l1n1n1_l3n1p1,15.540,774,774,0,0,690,4,8,5,100.000
io2_l1n1n1_l3n1p1_d1d2,15.864,833,833,0,0,713,4,8,5,100.000
io2_l1n1n1_l3n1p2,15.590,820,820,0,0,749,4,8,5,100.000
io2_l1n1n1_l3n1p2_d1d2,15.557,851,851,0,0,778,4,8,5,100.000
io2_l1n1n1_l3p1n1,25.856,2610,2610,0,0,3866,4,6,8,100.000
io2_l1n1n1_l3p1n1_d1d2,32.363,2827,2827,0,0,4149,4,6,14,100.000
io2_l1n1n1_l3p2n1,45.003,7192,6004,0,1188,12520,6,4,20,100.000
io2_l1n1n1_l3p2n1_d1d2,60.992,9265,7629,0,1636,14161,4,4,40,100.000
io2_l1n1n2_l3n1n1,18.203,717,717,0,0,776,4,8,8,100.000
io2_l1n1n2_l3n1n1_d1d2,17.967,800,800,0,0,806,4,8,8,100.000
io2_l1n1n2_l3n1n2,17.780,765,765,0,0,771,4,8,8,100.000
io2_l1n1n2_l3n1n2_d1d2,17.725,792,792,0,0,765,4,8,8,100.000
io2_l1n1n2_l3n1p1,20.008,845,845,0,0,813,4,8,8,100.000
io2_l1n1n2_l3n1p1_d1d2,20.288,892,892,0,0,801,4,8,8,100.000
io2_l1n1n2_l3n1p2,19.460,847,847,0,0,840,4,8,8,100.000
io2_l1n1n2_l3n1p2_d1d2,18.952,876,876,0,0,834,4,8,8,100.000
io2_l1n1n2_l3p1n1,27.397,2660,2660,0,0,3861,4,6,8,100.000
io2_l1n1n2_l3p1n1_d1d2,33.342,2825,2825,0,0,4080,4,6,14,100.000
io2_l1n1n2_l3p2n1,53.207,7629,6441,0,1188,12603,6,6,20,100.000
io2_l1n1n2_l3p2n1_d1d2,64.642,9494,7858,0,1636,14251,2,6,40,100.000
io2_l1n1p1_l3n1n1,16.212,717,717,0,0,689,4,8,5,100.000
io2_l1n1p1_l3n1n1_d1d2,16.617,798,798,0,0,744,4,8,5,100.000
io2_l1n1p1_l3n1n2,19.384,824,824,0,0,812,4,8,8,100.000
io2_l1n1p1_l3n1n2_d1d2,19.488,857,857,0,0,800,4,8,8,100.000
io2_l1n1p1_l3n1p1,18.469,835,835,0,0,726,4,8,5,100.000
io2_l1n1p1_l3n1p1_d1d2,18.348,865,865,0,0,708,4,8,5,100.000
io2_l1n1p1_l3n1p2,18.000,868,868,0,0,785,4,8,5,100.000
io2_l1n1p1_l3n1p2_d1d2,17.922,883,883,0,0,773,4,8,5,100.000
io2_l1n1p1_l3p1n1,28.930,2650,2650,0,0,3902,4,6,8,100.000
io2_l1n1p1_l3p1n1_d1d2,36.418,2881,2881,0,0,4113,4,6,14,100.000
io2_l1n1p1_l3p2n1,53.553,7270,6082,0,1188,12573,4,4,20,100.000
io2_l1n1p1_l3p2n1_d1d2,68.696,9260,7624,0,1636,14255,4,4,40,100.000
io2_l1n1p2_l3n1n1,15.390,767,767,0,0,748,4,8,5,100.000
