prjclk_target(ns),clk_estimated(ns),clk_uncertainty(ns),bram,dsp,ff,lutc_num_arith,c_num_logic,rtl_num_arith,rtl_num_logic,data_input_port(numxbits),data_output_port(numxbits)
io1_l1n1n1_l3n1n1,10.0,7.966,1.25,12,5,652,997,14,7,12,7,5x32,2x32
io1_l1n1n1_l3n1p1,10.0,7.966,1.25,12,5,679,1074,15,7,13,7,5x32,2x32
io1_l1n1n1_l3p1n1,10.0,8.59,1.25,13,10,8993,4696,153,7,27,7,5x32,2x32
io1_l1n1p1_l3n1n1,10.0,7.966,1.25,12,5,679,1074,15,7,13,7,5x32,2x32
io1_l1n1p1_l3n1p1,10.0,7.966,1.25,12,5,706,1151,16,7,14,7,5x32,2x32
io1_l1n1p1_l3p1n1,10.0,8.59,1.25,13,10,9020,4773,154,7,28,7,5x32,2x32
io1_l1p1n1_l3n1n1,10.0,8.59,1.25,13,10,8899,5233,138,69,12,69,5x32,2x32
io1_l1p1n1_l3n1p1,10.0,8.59,1.25,13,10,8926,5310,139,69,13,69,5x32,2x32
io1_l1p1n1_l3p1n1,10.0,7.984,1.25,14,10,11477,6880,277,69,25,69,5x32,2x32
io2_l1n1n1_l3n1n1,10.0,8.423,1.25,16,5,786,1377,14,7,12,7,6x32,2x32
io2_l1n1n1_l3n1n1_d1d2,10.0,8.423,1.25,16,5,785,1584,15,17,13,17,6x32,2x32
io2_l1n1n1_l3n1n2,10.0,8.423,1.25,16,8,1044,1556,16,8,13,8,6x32,2x32
io2_l1n1n1_l3n1n2_d1d2,10.0,8.423,1.25,16,8,1036,1684,17,12,14,12,6x32,2x32
io2_l1n1n1_l3n1p1,10.0,8.423,1.25,16,5,820,1460,15,7,13,7,6x32,2x32
io2_l1n1n1_l3n1p1_d1d2,10.0,8.423,1.25,16,5,811,1667,16,17,14,17,6x32,2x32
io2_l1n1n1_l3n1p2,10.0,8.423,1.25,16,5,942,1533,18,8,14,8,6x32,2x32
io2_l1n1n1_l3n1p2_d1d2,10.0,8.423,1.25,16,5,940,1641,18,12,14,12,6x32,2x32
io2_l1n1n1_l3p1n1,10.0,9.101,1.25,18,8,4078,4333,159,6,32,6,6x32,2x32
io2_l1n1n1_l3p1n1_d1d2,10.0,9.101,1.25,18,14,4414,4712,151,11,26,11,6x32,2x32
io2_l1n1n1_l3p2n1,10.0,9.047,1.25,18,20,15613,8288,287,6,37,6,6x32,2x32
io2_l1n1n1_l3p2n1_d1d2,10.0,9.01,1.25,18,40,18577,10673,279,11,37,11,6x32,2x32
io2_l1n1n2_l3n1n1,10.0,8.423,1.25,16,8,1038,1487,16,7,13,7,6x32,2x32
io2_l1n1n2_l3n1n1_d1d2,10.0,8.423,1.25,16,8,1036,1684,17,12,14,12,6x32,2x32
io2_l1n1n2_l3n1n2,10.0,8.423,1.25,16,8,1104,1538,18,8,13,8,6x32,2x32
io2_l1n1n2_l3n1n2_d1d2,10.0,8.423,1.25,16,8,1095,1656,19,7,14,7,6x32,2x32
io2_l1n1n2_l3n1p1,10.0,8.423,1.25,16,8,1072,1570,17,7,14,7,6x32,2x32
io2_l1n1n2_l3n1p1_d1d2,10.0,8.423,1.25,16,8,1062,1767,18,12,15,12,6x32,2x32
io2_l1n1n2_l3n1p2,10.0,8.423,1.25,16,8,1162,1628,20,8,15,8,6x32,2x32
io2_l1n1n2_l3n1p2_d1d2,10.0,8.423,1.25,16,8,1159,1726,20,7,15,7,6x32,2x32
io2_l1n1n2_l3p1n1,10.0,9.687,1.25,18,8,4138,4297,161,6,32,6,6x32,2x32
io2_l1n1n2_l3p1n1_d1d2,10.0,9.687,1.25,18,14,4473,4664,153,6,26,6,6x32,2x32
io2_l1n1n2_l3p2n1,10.0,9.634,1.25,18,20,15609,8244,289,6,37,6,6x32,2x32
io2_l1n1n2_l3p2n1_d1d2,10.0,9.597,1.25,18,40,18636,10625,281,6,37,6,6x32,2x32
io2_l1n1p1_l3n1n1,10.0,8.423,1.25,16,5,819,1460,15,7,13,7,6x32,2x32
io2_l1n1p1_l3n1n1_d1d2,10.0,8.423,1.25,16,5,811,1667,16,17,14,17,6x32,2x32
io2_l1n1p1_l3n1n2,10.0,8.423,1.25,16,8,1077,1639,17,8,14,8,6x32,2x32
io2_l1n1p1_l3n1n2_d1d2,10.0,8.423,1.25,16,8,1062,1767,18,12,15,12,6x32,2x32
io2_l1n1p1_l3n1p1,10.0,8.423,1.25,16,5,853,1543,16,7,14,7,6x32,2x32
io2_l1n1p1_l3n1p1_d1d2,10.0,8.423,1.25,16,5,837,1750,17,17,15,17,6x32,2x32
io2_l1n1p1_l3n1p2,10.0,8.423,1.25,16,5,975,1616,19,8,15,8,6x32,2x32
io2_l1n1p1_l3n1p2_d1d2,10.0,8.423,1.25,16,5,966,1724,19,12,15,12,6x32,2x32
io2_l1n1p1_l3p1n1,10.0,9.101,1.25,18,8,4111,4416,160,6,33,6,6x32,2x32
io2_l1n1p1_l3p1n1_d1d2,10.0,9.101,1.25,18,14,4440,4795,152,11,27,11,6x32,2x32
io2_l1n1p1_l3p2n1,10.0,9.047,1.25,18,20,15646,8371,288,6,38,6,6x32,2x32
io2_l1n1p1_l3p2n1_d1d2,10.0,9.01,1.25,18,40,18603,10756,280,11,38,11,6x32,2x32
io2_l1n1p2_l3n1n1,10.0,8.423,1.25,16,5,941,1444,17,7,13,7,6x32,2x32
io2_l1n1p2_l3n1n1_d1d2,10.0,8.423,1.25,16,5,940,1641,18,12,14,12,6x32,2x32
io2_l1n1p2_l3n1n2,10.0,8.423,1.25,16,8,1167,1608,19,8,14,8,6x32,2x32
io2_l1n1p2_l3n1n2_d1d2,10.0,8.423,1.25,16,8,1159,1726,20,7,15,7,6x32,2x32
io2_l1n1p2_l3n1p1,10.0,8.423,1.25,16,5,975,1527,18,7,14,7,6x32,2x32
io2_l1n1p2_l3n1p1_d1d2,10.0,8.423,1.25,16,5,966,1724,19,12,15,12,6x32,2x32
io2_l1n1p2_l3n1p2,10.0,8.423,1.25,16,5,1033,1579,21,8,15,8,6x32,2x32
io2_l1n1p2_l3n1p2_d1d2,10.0,8.423,1.25,16,5,1031,1677,21,7,15,7,6x32,2x32
io2_l1n1p2_l3p1n1,10.0,9.687,1.25,18,8,4169,4376,162,6,33,6,6x32,2x32
io2_l1n1p2_l3p1n1_d1d2,10.0,9.687,1.25,18,14,4505,4745,154,6,27,6,6x32,2x32
io2_l1n1p2_l3p2n1,10.0,9.634,1.25,18,20,15640,8326,290,6,38,6,6x32,2x32
io2_l1n1p2_l3p2n1_d1d2,10.0,9.597,1.25,18,40,18668,10711,282,6,38,6,6x32,2x32
