prj,vivado_dynamic_pwr(mW),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,URAM,DSP48 Blocks
io1_l2n1n1_l5n1n1_l8n1n1,21.464,849,849,0,0,671,28,0,5
io1_l2n1n1_l5n1n1_l8n1p1,21.708,985,985,0,0,761,28,0,5
io1_l2n1n1_l5n1n1_l8p1n1,34.411,3778,3178,0,600,5660,28,0,10
io1_l2n1p1_l5n1p1_l8n1n1,27.406,1141,1141,0,0,852,28,0,5
io1_l2n1p1_l5n1p1_l8n1p1,28.261,1293,1293,0,0,945,28,0,5
io1_l2n1p1_l5n1p1_l8p1n1,41.017,3992,3392,0,600,5841,28,0,10
io1_l2p1n1_l5p1n1_l8n1n1,126.413,5655,4455,0,1200,8082,28,0,10
io1_l2p1n1_l5p1n1_l8n1p1,130.046,5889,4689,0,1200,8230,28,0,10
io1_l2p1n1_l5p1n1_l8p1n1,139.462,8031,6231,0,1800,10760,28,0,10
io2_l2n1n1_l5n1n1_l8n1n1,20.576,999,999,0,0,795,28,0,5
io2_l2n1n1_l5n1n1_l8n1n1_d1d2,22.310,1356,1356,0,0,1142,28,0,5
io2_l2n1n1_l5n1n1_l8n1n2,22.220,1119,1119,0,0,980,24,0,8
io2_l2n1n1_l5n1n1_l8n1n2_d1d2,23.262,1448,1448,0,0,1237,28,0,8
io2_l2n1n1_l5n1n1_l8n1p1,21.853,1154,1154,0,0,900,28,0,5
io2_l2n1n1_l5n1n1_l8n1p1_d1d2,23.039,1539,1539,0,0,1183,28,0,5
io2_l2n1n1_l5n1n1_l8n1p2,22.589,1263,1263,0,0,1027,24,0,5
io2_l2n1n1_l5n1n1_l8n1p2_d1d2,24.053,1598,1598,0,0,1277,28,0,5
io2_l2n1n1_l5n1n1_l8p1n1,28.624,2378,2378,0,0,2660,24,0,8
io2_l2n1n1_l5n1n1_l8p1n1_d1d2,39.582,7012,7012,0,0,9143,28,0,14
io2_l2n1n1_l5n1n1_l8p2n1,42.878,7164,5973,0,1191,11829,28,0,20
io2_l2n1n1_l5n1n1_l8p2n1_d1d2,53.619,10784,9145,0,1639,15051,28,0,40
io2_l2n1n2_l5n1n2_l8n1n1,24.685,1167,1167,0,0,913,28,0,8
